#,Date,Location,Vehicles,Drunken persons,Fatalites,Persons,Pedestrians
174,"Jul 24, 2006 05:30 PM",Us-22,1,1,1,2,1
175,"Jul 19, 2006 04:35 PM",I-75,3,-,1,4,-
176,"Jul 23, 2006 06:20 PM",W 8th St,1,-,1,1,-
177,"Jul 27, 2006 00:12 AM",Fairbanks Ave,4,1,1,2,-
178,"Aug 18, 2006 01:49 AM",Vine St,1,1,1,1,-
179,"Aug 7, 2006 06:10 AM",Us-50,2,-,1,2,-
180,"Sep 3, 2006 05:17 AM",Us-50,1,-,1,2,1
181,"Sep 10, 2006 10:22 AM","Spring Grove Ave, Meeker St",1,-,1,1,-
182,"Sep 28, 2006 02:23 AM",8th St,1,1,1,1,-
183,"Jul 25, 2006 03:02 PM",Sr-264,1,1,1,2,-
184,"Oct 9, 2006 06:47 PM","Avalon St, Oakmont St",2,1,1,2,-
185,"Oct 17, 2006 02:35 AM","I-471, I-75",1,-,1,1,-
186,"Oct 16, 2006 08:47 PM",I-75,3,-,1,7,-
187,"Nov 7, 2006 01:25 PM",Sr-127,2,-,1,2,-
188,"Nov 4, 2006 01:50 AM",I-75,2,1,2,3,-
189,"Dec 14, 2006 01:25 AM","I-71, Reading Rd",2,2,1,4,-
190,"Dec 26, 2006 07:35 AM",Hamilton-Ave,1,-,1,1,-
191,"Dec 7, 2006 10:30 AM","Victory Parkway, Calvin Cliff Lane",2,-,1,6,-
192,"Dec 26, 2006 08:17 PM",Este Ave,1,1,1,2,-
193,"Jan 7, 2005 06:48 AM","I-75, Western Hils Viaduct",2,-,1,3,1
194,"Jan 2, 2005 11:34 PM",I-75,2,-,1,2,-
195,"Feb 13, 2005 02:25 AM",Spring-Grove-Ave,3,1,1,1,-
196,"Mar 7, 2005 02:17 AM",I-75,2,1,1,2,-
197,"Apr 19, 2005 08:10 AM",Markbreit-Ave,1,-,1,2,1
198,"Jan 31, 2005 01:37 AM","I-71, Fredonia Ave",1,1,1,1,-
199,"Feb 20, 2005 11:05 AM","I-75, Galbraith Rd",1,-,1,1,-
200,"Apr 21, 2005 01:35 AM",Anthony-Wayne-Ave,2,2,2,2,-
201,"Mar 22, 2005 10:22 PM","I-75, I-74",1,-,1,1,-
202,"May 2, 2005 03:08 PM",Plainville-Rd,1,-,1,2,1
203,"Mar 31, 2005 09:50 PM","Us-42, Victoria Parkway",2,1,1,3,-
204,"Apr 9, 2005 02:23 AM","I-75, 6th St",1,1,1,4,-
205,"May 27, 2005 07:45 AM",Mitchell-Ave,3,-,1,5,-
206,"May 1, 2005 10:10 PM","Este Ave, Kings Run Ct",1,1,1,2,-
207,"May 5, 2005 08:13 AM","Us-22, Robinson Rd",3,-,1,3,-
208,"Jun 10, 2005 09:30 AM","Reading Rd, Losantiville Ave",1,-,1,2,1
209,"Jun 20, 2005 05:46 PM","Westwood Northern, Sutter Ave",1,-,1,3,-
210,"Jun 24, 2005 09:30 AM","W Liberty, Winchell Ave",2,-,1,3,-
211,"Jul 8, 2005 09:07 PM","Glenway Ave, Wilder Ave",2,1,1,4,-
212,"Jul 10, 2005 02:28 AM","Bank St, Colerain Ave",1,1,1,2,1
213,"Jul 15, 2005 02:35 AM","I-75, Red Bank",2,1,1,2,-
214,"Aug 10, 2005 09:25 PM",Spring-Grove-Ave,1,1,1,1,-
215,"Aug 27, 2005 03:59 AM",Us-50,1,1,1,1,-
216,"Sep 7, 2005 11:00 PM",Duck-Creek-Rd,1,1,1,1,-
217,"Sep 10, 2005 03:58 PM",I-75,4,-,1,4,-
218,"Sep 15, 2005 03:43 PM","I-71, Us-42",1,-,1,2,1
219,"Nov 20, 2005 02:55 AM","Madison-Rd, Taylor-Ave",1,1,1,2,-
220,"Nov 23, 2005 03:59 PM","Montana Ave, Farrell Dr",2,-,1,2,-
221,"Nov 23, 2005 06:51 AM","Eastern Ave, Delta Ave",1,-,1,1,-
222,"Dec 8, 2005 12:08 AM","Montana Ave, Quante Rd",3,-,1,5,-
223,"Dec 24, 2005 02:28 AM",Us-22,4,1,1,5,-
224,"Dec 30, 2005 08:11 PM","Coverdale Ave, Ralph Ave",2,-,1,3,1
225,"Jan 3, 2004 05:49 PM","Us-52, Salem-Rd",2,-,1,3,-
226,"Jan 4, 2004 01:35 AM","Us-50, Sr-264",2,-,1,2,-
227,"Feb 29, 2004 03:53 AM",Covedale-Ave,1,1,1,1,-
228,"Mar 14, 2004 01:48 PM",Sr-562,1,1,1,1,-
229,"Feb 16, 2004 09:54 PM","Clifton Ave, Vine St",1,-,1,2,-
230,"Mar 9, 2004 05:31 PM",Race,1,-,1,2,1
231,"Apr 3, 2004 02:19 AM",Rapid-Run-Pike,1,1,1,2,-
232,"Apr 14, 2004 03:37 PM",Vine-St,1,-,2,2,-
233,"Apr 13, 2004 01:06 PM","Us-50, Burns-Ave",2,-,1,3,-
234,"Apr 11, 2004 01:03 AM","I-75, I-71",1,1,1,2,1
235,"May 10, 2004 03:50 PM","Nassau-St, Alpin-Place",1,-,1,2,1
236,"May 22, 2004 11:42 AM","Harrison-Ave, Adler-St",1,1,1,2,-
237,"Jun 15, 2004 10:05 PM","Langdon-Farm-Rd, Wiehe-Rd",1,-,1,2,-
238,"Jun 30, 2004 02:20 AM","I-75, Us-52",1,1,1,1,-
239,"Jul 16, 2004 05:08 PM",Daleview,2,-,1,2,-
240,"Jul 18, 2004 04:55 PM","Taylor-Rd, Powner-Rd",3,-,1,3,-
241,"Jul 19, 2004 05:09 PM","Sr-264, Midway Ave",1,-,1,2,1
242,"Aug 2, 2004 12:06 AM","Vine St, Fair Park Ave",1,1,2,4,-
243,"Aug 12, 2004 11:05 PM","Ebenzer, Louese",2,-,1,2,-
244,"Aug 28, 2004 10:10 AM","Paxton Ave, Wasson Rd",1,-,1,2,1
245,"Sep 10, 2004 12:10 AM","Banning, Eiler Lane",2,1,1,2,-
246,"Nov 7, 2004 03:15 PM","Us-27, High Forest Ln",2,-,2,4,-
247,"Nov 12, 2004 09:15 PM",Sr-561,1,-,1,1,-
248,"Nov 13, 2004 00:25 AM",Us-42,2,1,1,3,-
249,"Nov 18, 2004 12:21 AM","Highland Ave, Ridge Ave",4,-,1,5,-
250,"Oct 31, 2004 07:07 PM","E Martin Luther King, Jefferson Ave",1,-,3,5,-
251,"Dec 16, 2004 01:45 PM",Us-50,1,-,1,1,-
252,"Dec 19, 2004 09:00 PM","5-Mile-Rd, State-Rd",2,1,1,3,-
253,"Dec 18, 2004 06:49 AM",Madison-Rd,1,-,1,2,1
254,"Dec 27, 2004 05:50 PM","W 8th St, Harris Ave",1,-,1,3,1
255,"Dec 31, 2004 11:38 PM",Us-27,1,1,1,2,1
256,"Jan 6, 2003 11:10 AM",Columbia-Pkwy,5,-,2,7,-
257,"Jan 10, 2003 10:52 PM",West-Liberty-St,2,1,1,5,-
258,"Jan 24, 2003 00:01 AM",I-75,2,1,1,3,-
259,"Jan 30, 2003 08:25 PM",Norwood,2,-,1,2,-
260,"Feb 20, 2003 07:05 AM",I-275,2,-,1,2,-
261,"Mar 16, 2003 02:35 AM",I-71,1,1,1,1,-
262,"Mar 26, 2003 09:35 PM",William-Howard-Ta-Rd,2,1,1,3,-
263,"Mar 18, 2003 06:11 AM",I-71,1,-,1,1,-
264,"Mar 20, 2003 06:08 AM",Lafeuille Ave,1,-,1,1,-
265,"May 3, 2003 02:57 AM",Forest-Rd,1,1,1,1,-
266,"May 11, 2003 08:26 PM",Gracely Dr,1,-,1,1,-
267,"Feb 8, 2003 03:21 AM",I-75,1,1,1,3,1
268,"May 31, 2003 07:52 AM",I-74,2,1,3,4,-
269,"Jun 5, 2003 05:35 PM",Iliff Ave,1,-,1,1,-
270,"Jun 22, 2003 00:51 AM",Hanley-Rd,1,-,1,4,-
271,"Jul 5, 2003 06:04 PM",130,1,-,1,1,-
272,"Jun 22, 2003 11:42 PM",I-71,1,1,1,1,-
273,"Jul 26, 2003 01:28 AM",I-75,1,1,1,1,-
274,"Aug 4, 2003 09:41 AM",I-471,1,-,1,1,-
275,"May 21, 2003 08:22 AM",Bender-Rd,2,1,1,2,-
276,"Aug 15, 2003 12:35 AM",6th-St,2,-,1,2,-
277,"Aug 14, 2003 09:35 AM",Vine St,1,-,1,3,1
278,"Aug 22, 2003 07:29 AM",River Rd,3,-,1,3,-
279,"Sep 9, 2003 10:45 AM",Glenway Ave,2,-,1,2,-
280,"Jun 27, 2003 00:39 AM",Fairmount-Ave,1,-,1,4,-
281,"Aug 19, 2003 10:05 PM",Winchell-Ave,1,1,1,1,-
282,"Aug 16, 2003 07:25 AM",Reading Road,2,-,1,6,-
283,"Aug 25, 2003 11:55 AM",Norwood Lateral,1,-,1,1,-
284,"Oct 2, 2003 05:10 PM",Elm St,1,-,1,2,1
285,"Nov 6, 2003 12:37 AM",Us-27,2,-,1,5,-
286,"Nov 13, 2003 02:20 AM",Dana-Ave,3,3,1,8,-
287,"Nov 15, 2003 11:35 AM",Groesbeck Rd,2,-,1,2,-
288,"Nov 22, 2003 12:50 AM",Beechgrove Ln,1,-,2,3,2
289,"Dec 5, 2003 03:53 PM",Mehring Way,1,1,1,1,-
